:ID(RemovalEvent),RMV_TRK_NO,RMV_REA_TX,component_id,aircraft_id,removal_date,work_order_number,technician_id,part_number,serial_number,time_since_install,flight_hours_at_removal,flight_cycles_at_removal,replacement_required,shop_visit_required,warranty_status,removal_priority,cost_estimate,installation_date
RE000022,RMV240924000022,We president grow natural include,AC1012-S03-C01,AC1012,2024-09-24T07:00:00,WO2409-0022,Heather Miller,P19721-686,SNZP280864,2928,15948,3264,True,True,OUT_WARRANTY,HIGH,23136,2024-05-25T07:00:00
RE000023,RMV240821000023,Success scene explain close beyond,AC1012-S03-C03,AC1012,2024-08-21T08:00:00,WO2408-0023,Darren Parker,PNR36150-961,SNUN611868,12576,22142,222,True,True,OUT_WARRANTY,HIGH,71489,2023-03-16T08:00:00
RE000024,RMV240917000024,Light result capital really set source time billion major man,AC1012-S01-C03,AC1012,2024-09-17T16:00:00,WO2409-0024,Bobby Small,PNR31161-408,SNGL267420,21576,19736,2147,True,False,OUT_WARRANTY,MEDIUM,28900,2022-04-02T16:00:00
RE000025,RMV240928000025,Wall especially population treat example discuss up large,AC1013-S02-C02,AC1013,2024-09-28T12:00:00,WO2409-0025,Megan Williams,PN25687-796,SNHW516778,21000,19521,2177,True,False,IN_WARRANTY,CRITICAL,63280,2022-05-07T12:00:00
RE000026,RMV240906000026,Accept rich to happy provide commercial TV his,AC1013-S04-C04,AC1013,2024-09-06T12:00:00,WO2409-0026,Nancy Mcguire,PN56056-911,SNQH138953,18312,4966,2823,True,False,OUT_WARRANTY,CRITICAL,110550,2022-08-05T12:00:00
RE000027,RMV240918000027,Ok experience sell child set phone reveal most,AC1014-S02-C03,AC1014,2024-09-18T14:00:00,WO2409-0027,Suzanne Cummings,P85221-907,SNNP925856,16560,9697,477,True,False,IN_WARRANTY,MEDIUM,35460,2022-10-29T14:00:00
RE000028,RMV240708000028,Young general resource security nothing red family describe available subject,AC1015-S02-C05,AC1015,2024-07-08T12:00:00,WO2407-0028,Andrew Kerr,PN65585-244,SNYQ078232,18792,12761,1891,True,False,OUT_WARRANTY,CRITICAL,105012,2022-05-17T12:00:00
RE000029,RMV240825000029,Morning man in media know,AC1016-S01-C02,AC1016,2024-08-25T08:00:00,WO2408-0029,Madeline Smith,P61652-829,SNEW356350,17904,11408,660,True,True,OUT_WARRANTY,MEDIUM,3905,2022-08-10T08:00:00
RE000030,RMV240729000030,Option seek rule network best she organization,AC1017-S01-C01,AC1017,2024-07-29T07:00:00,WO2407-0030,Pamela Martin,PN94678-890,SNJP283806,8520,16290,1706,True,True,OUT_WARRANTY,LOW,28266,2023-08-09T07:00:00
RE000031,RMV240716000031,Think particularly usually always first name,AC1018-S04-C01,AC1018,2024-07-16T16:00:00,WO2407-0031,Katherine Brown,PT15422-450,SNGZ905171,20160,20080,2443,True,False,IN_WARRANTY,HIGH,11099,2022-03-29T16:00:00
RE000032,RMV240919000032,Step set bag list system able boy out investment,AC1019-S01-C01,AC1019,2024-09-19T12:00:00,WO2409-0032,Valerie Meyer,P63827-653,SNDZ820274,6864,16816,2702,True,True,IN_WARRANTY,LOW,23258,2023-12-08T12:00:00
RE000033,RMV240702000033,Share part occur war responsibility move large support without price,AC1020-S02-C01,AC1020,2024-07-02T16:00:00,WO2407-0033,William Green,PNR25538-795,SNOU898165,13152,6239,3595,True,True,IN_WARRANTY,CRITICAL,34881,2023-01-01T16:00:00
RE000034,RMV240730000034,Movement entire land couple finish its which top impact consider,AC1021-S04-C04,AC1021,2024-07-30T15:00:00,WO2407-0034,Justin Gutierrez,PT35759-784,SNRF421748,13416,10860,2255,False,True,IN_WARRANTY,LOW,22381,2023-01-18T15:00:00
RE000035,RMV240809000035,Two down her alone campaign return draw technology over,AC1021-S02-C02,AC1021,2024-08-09T16:00:00,WO2408-0035,Adrienne Tucker,PNR56560-672,SNMC105423,3024,15961,2785,True,False,OUT_WARRANTY,MEDIUM,40191,2024-04-05T16:00:00
RE000036,RMV240814000036,Girl American popular speech as action agency court bag nature,AC1021-S03-C02,AC1021,2024-08-14T08:00:00,WO2408-0036,Robin Fernandez,PNR66911-957,SNKU124408,5904,23911,3637,True,True,OUT_WARRANTY,MEDIUM,27382,2023-12-12T08:00:00
RE000037,RMV240829000037,Cup thought manager weight on leg at end least,AC1022-S01-C02,AC1022,2024-08-29T10:00:00,WO2408-0037,James Webb,PN92244-287,SNBQ338877,8976,16131,547,False,True,IN_WARRANTY,MEDIUM,15158,2023-08-21T10:00:00
RE000038,RMV240813000038,Life wear pay political sell around work continue news,AC1022-S01-C02,AC1022,2024-08-13T13:00:00,WO2408-0038,Timothy Johnson,PN96639-182,SNNU114691,8376,3784,2854,True,False,OUT_WARRANTY,HIGH,91032,2023-08-30T13:00:00
RE000039,RMV240914000039,Into defense avoid third occur part mouth eat involve,AC1022-S01-C02,AC1022,2024-09-14T14:00:00,WO2409-0039,Julie Anderson,PNR24983-622,SNRR140713,13896,20960,2284,True,False,IN_WARRANTY,HIGH,19312,2023-02-13T14:00:00
RE000040,RMV240719000040,Word star drive travel lot ahead material long admit,AC1023-S03-C01,AC1023,2024-07-19T12:00:00,WO2407-0040,Linda Green,PT81916-529,SNYV771401,16248,16090,511,False,False,OUT_WARRANTY,LOW,4637,2022-09-11T12:00:00
RE000041,RMV240819000041,Event important research black set,AC1024-S03-C01,AC1024,2024-08-19T08:00:00,WO2408-0041,Lindsey Miller,PT61748-356,SNJI490652,10128,18362,2590,True,False,OUT_WARRANTY,LOW,4013,2023-06-24T08:00:00
RE000042,RMV240731000042,Structure goal southern hotel we,AC1025-S03-C03,AC1025,2024-07-31T07:00:00,WO2407-0042,Holly Parker,P40498-029,SNPR963078,12912,13320,704,True,True,OUT_WARRANTY,MEDIUM,37202,2023-02-09T07:00:00
RE000043,RMV240731000043,Whether city song life statement sign play century,AC1026-S04-C04,AC1026,2024-07-31T10:00:00,WO2407-0043,Jeremy Salazar,PNR65785-885,SNZF767933,6096,23261,375,True,False,OUT_WARRANTY,HIGH,16339,2023-11-20T10:00:00
RE000044,RMV240901000044,Mother country kitchen safe scientist only,AC1027-S04-C04,AC1027,2024-09-01T18:00:00,WO2409-0044,Laura Martinez,PT56685-932,SNJD012173,18648,8950,602,True,False,OUT_WARRANTY,HIGH,70745,2022-07-17T18:00:00
RE000045,RMV240727000045,Tree indeed shoulder sure no with however window feel available,AC1027-S01-C01,AC1027,2024-07-27T12:00:00,WO2407-0045,Jose Hernandez,PNR50640-126,SNHY342683,11832,21227,3232,True,True,IN_WARRANTY,MEDIUM,55644,2023-03-22T12:00:00
RE000046,RMV240826000046,Woman for term bill name development set adult,AC1028-S04-C04,AC1028,2024-08-26T13:00:00,WO2408-0046,Tommy Wilson,PNR80476-857,SNJH500165,21336,3253,508,True,True,OUT_WARRANTY,HIGH,55347,2022-03-21T13:00:00
RE000047,RMV240909000047,There together over art,AC1028-S04-C02,AC1028,2024-09-09T16:00:00,WO2409-0047,John Kirby,P65573-164,SNGM453301,10800,14357,534,True,True,OUT_WARRANTY,MEDIUM,7887,2023-06-17T16:00:00
RE000048,RMV240806000048,Ask term though operation serve same,AC1028-S01-C05,AC1028,2024-08-06T06:00:00,WO2408-0048,Andrea Luna,PNR13841-152,SNAD866016,14448,23095,1847,True,True,OUT_WARRANTY,MEDIUM,47651,2022-12-13T06:00:00
RE000049,RMV240718000049,Focus sure serious property little,AC1029-S04-C03,AC1029,2024-07-18T10:00:00,WO2407-0049,Jose Jones,PT37882-012,SNFJ055399,16632,5627,394,True,True,OUT_WARRANTY,HIGH,49894,2022-08-25T10:00:00
RE000050,RMV240808000050,Peace feel west history recent hear back off reduce,AC1030-S03-C01,AC1030,2024-08-08T07:00:00,WO2408-0050,Kevin Taylor,P38073-471,SNQH022174,7848,19611,2224,True,True,IN_WARRANTY,MEDIUM,26253,2023-09-16T07:00:00
RE000051,RMV240913000051,Charge seat oil board amount option environment add,AC1031-S02-C05,AC1031,2024-09-13T07:00:00,WO2409-0051,Todd Morris,P44298-731,SNUX258314,20856,1433,3670,True,True,OUT_WARRANTY,HIGH,38588,2022-04-28T07:00:00
RE000052,RMV240920000052,Second always race develop entire,AC1031-S03-C01,AC1031,2024-09-20T09:00:00,WO2409-0052,Margaret Miller,PNR72093-469,SNBB360235,14232,8851,1073,True,True,OUT_WARRANTY,HIGH,11169,2023-02-05T09:00:00
RE000053,RMV240823000053,Seem scientist art be tax material type,AC1032-S03-C02,AC1032,2024-08-23T08:00:00,WO2408-0053,Laura Bolton,P61822-310,SNJT934785,4416,1607,1213,True,False,IN_WARRANTY,HIGH,53694,2024-02-21T08:00:00
RE000054,RMV240910000054,Type who after boy research,AC1033-S02-C04,AC1033,2024-09-10T13:00:00,WO2409-0054,William Rodriguez,P15383-827,SNPS286126,17520,2200,3421,True,True,IN_WARRANTY,MEDIUM,33243,2022-09-11T13:00:00
RE000055,RMV240912000055,It goal include anything later indicate dream poor,AC1034-S04-C01,AC1034,2024-09-12T07:00:00,WO2409-0055,Bobby Perez,PNR76792-434,SNLT924160,13248,3999,2830,True,True,IN_WARRANTY,LOW,19876,2023-03-10T07:00:00
RE000056,RMV240727000056,Owner describe bring work claim maintain goal admit that enjoy,AC1035-S04-C02,AC1035,2024-07-27T07:00:00,WO2407-0056,Kellie Williams,P25445-051,SNAK813545,9120,9321,2019,True,False,OUT_WARRANTY,MEDIUM,30957,2023-07-13T07:00:00
RE000057,RMV240710000057,Scene focus least cover vote notice,AC1036-S02-C02,AC1036,2024-07-10T18:00:00,WO2407-0057,Kaitlyn Turner,P71555-778,SNAS221587,9816,3091,645,True,True,OUT_WARRANTY,MEDIUM,46276,2023-05-28T18:00:00
