:START_ID(Aircraft),:END_ID(Flight)
AC1002,FL00695
AC1002,FL00696
AC1002,FL00697
AC1002,FL00698
AC1002,FL00699
AC1002,FL00700
AC1002,FL00701
AC1002,FL00702
AC1002,FL00703
AC1002,FL00704
AC1002,FL00705
AC1002,FL00706
AC1002,FL00707
AC1002,FL00708
AC1002,FL00709
AC1002,FL00710
AC1002,FL00711
AC1002,FL00712
AC1002,FL00713
AC1002,FL00714
AC1002,FL00715
AC1002,FL00716
AC1002,FL00717
AC1002,FL00718
AC1002,FL00719
AC1002,FL00720
AC1002,FL00721
AC1002,FL00722
AC1002,FL00723
AC1002,FL00724
AC1002,FL00725
AC1002,FL00726
AC1002,FL00727
AC1002,FL00728
AC1002,FL00729
AC1002,FL00730
AC1002,FL00731
AC1002,FL00732
AC1002,FL00733
AC1002,FL00734
AC1002,FL00735
AC1002,FL00736
AC1002,FL00737
AC1002,FL00738
AC1002,FL00739
AC1002,FL00740
AC1002,FL00741
AC1002,FL00742
AC1002,FL00743
AC1002,FL00744
AC1002,FL00745
AC1002,FL00746
AC1002,FL00747
AC1002,FL00748
AC1002,FL00749
AC1002,FL00750
AC1002,FL00751
AC1002,FL00752
AC1002,FL00753
AC1002,FL00754
AC1002,FL00755
AC1002,FL00756
AC1002,FL00757
AC1002,FL00758
AC1002,FL00759
AC1002,FL00760
AC1002,FL00761
AC1002,FL00762
AC1002,FL00763
AC1002,FL00764
AC1002,FL00765
AC1002,FL00766
AC1002,FL00767
AC1002,FL00768
AC1002,FL00769
AC1002,FL00770
AC1002,FL00771
AC1002,FL00772
AC1002,FL00773
AC1002,FL00774
AC1002,FL00775
AC1002,FL00776
AC1002,FL00777
AC1002,FL00778
AC1002,FL00779
AC1002,FL00780
AC1002,FL00781
AC1002,FL00782
AC1002,FL00783
AC1002,FL00784
AC1002,FL00785
AC1002,FL00786
AC1002,FL00787
AC1003,FL00788
AC1003,FL00789
AC1003,FL00790
AC1003,FL00791
AC1003,FL00792
AC1003,FL00793
AC1003,FL00794
AC1003,FL00795
AC1003,FL00796
AC1003,FL00797
AC1003,FL00798
AC1003,FL00799
AC1003,FL00800
AC1003,FL00801
AC1003,FL00802
AC1003,FL00803
AC1003,FL00804
AC1003,FL00805
AC1003,FL00806
AC1003,FL00807
AC1003,FL00808
AC1003,FL00809
AC1003,FL00810
AC1003,FL00811
AC1003,FL00812
AC1003,FL00813
AC1003,FL00814
AC1003,FL00815
AC1003,FL00816
AC1003,FL00817
AC1003,FL00818
AC1003,FL00819
AC1003,FL00820
AC1003,FL00821
AC1003,FL00822
AC1003,FL00823
AC1003,FL00824
AC1003,FL00825
AC1003,FL00826
AC1003,FL00827
AC1003,FL00828
AC1003,FL00829
AC1003,FL00830
AC1003,FL00831
AC1003,FL00832
AC1003,FL00833
AC1003,FL00834
AC1003,FL00835
AC1003,FL00836
AC1003,FL00837
AC1003,FL00838
AC1003,FL00839
AC1003,FL00840
AC1003,FL00841
AC1003,FL00842
AC1003,FL00843
AC1003,FL00844
AC1003,FL00845
AC1003,FL00846
AC1003,FL00847
AC1003,FL00848
AC1003,FL00849
AC1003,FL00850
AC1003,FL00851
AC1003,FL00852
AC1003,FL00853
AC1003,FL00854
AC1003,FL00855
AC1003,FL00856
AC1003,FL00857
AC1003,FL00858
AC1003,FL00859
AC1003,FL00860
AC1003,FL00861
AC1003,FL00862
AC1003,FL00863
AC1003,FL00864
AC1003,FL00865
AC1003,FL00866
AC1003,FL00867
AC1003,FL00868
AC1003,FL00869
AC1003,FL00870
AC1003,FL00871
AC1003,FL00872
AC1003,FL00873
AC1003,FL00874
AC1003,FL00875
AC1003,FL00876
AC1003,FL00877
AC1003,FL00878
AC1003,FL00879
AC1003,FL00880
AC1003,FL00881
AC1003,FL00882
AC1003,FL00883
AC1003,FL00884
AC1003,FL00885
AC1003,FL00886
AC1003,FL00887
AC1003,FL00888
AC1003,FL00889
AC1003,FL00890
AC1003,FL00891
AC1003,FL00892
AC1003,FL00893
AC1003,FL00894
AC1003,FL00895
AC1003,FL00896
AC1003,FL00897
AC1003,FL00898
AC1003,FL00899
AC1003,FL00900
AC1003,FL00901
AC1003,FL00902
AC1003,FL00903
AC1003,FL00904
AC1003,FL00905
AC1003,FL00906
AC1003,FL00907
AC1003,FL00908
AC1003,FL00909
AC1003,FL00910
AC1003,FL00911
AC1003,FL00912
AC1003,FL00913
AC1003,FL00914
AC1003,FL00915
AC1003,FL00916
AC1003,FL00917
AC1003,FL00918
AC1003,FL00919
AC1003,FL00920
AC1003,FL00921
AC1003,FL00922
AC1003,FL00923
AC1003,FL00924
AC1003,FL00925
AC1003,FL00926
AC1003,FL00927
AC1003,FL00928
AC1003,FL00929
AC1003,FL00930
AC1003,FL00931
AC1003,FL00932
AC1003,FL00933
AC1003,FL00934
AC1003,FL00935
AC1003,FL00936
AC1003,FL00937
AC1003,FL00938
AC1003,FL00939
AC1003,FL00940
AC1003,FL00941
AC1003,FL00942
AC1003,FL00943
AC1003,FL00944
AC1003,FL00945
AC1003,FL00946
AC1003,FL00947
AC1003,FL00948
AC1003,FL00949
AC1003,FL00950
AC1003,FL00951
AC1003,FL00952
AC1003,FL00953
AC1003,FL00954
AC1003,FL00955
AC1003,FL00956
AC1003,FL00957
AC1003,FL00958
AC1003,FL00959
AC1003,FL00960
AC1003,FL00961
AC1003,FL00962
AC1003,FL00963
AC1003,FL00964
AC1003,FL00965
AC1003,FL00966
AC1003,FL00967
AC1003,FL00968
AC1003,FL00969
AC1003,FL00970
AC1003,FL00971
AC1003,FL00972
AC1003,FL00973
AC1003,FL00974
AC1003,FL00975
AC1003,FL00976
AC1003,FL00977
AC1003,FL00978
AC1003,FL00979
AC1003,FL00980
AC1003,FL00981
AC1003,FL00982
AC1003,FL00983
AC1003,FL00984
AC1003,FL00985
AC1003,FL00986
AC1003,FL00987
AC1003,FL00988
AC1003,FL00989
AC1003,FL00990
AC1003,FL00991
AC1003,FL00992
AC1003,FL00993
AC1003,FL00994
AC1003,FL00995
AC1003,FL00996
AC1003,FL00997
AC1003,FL00998
AC1003,FL00999
AC1003,FL01000
AC1003,FL01001
AC1003,FL01002
AC1003,FL01003
AC1003,FL01004
AC1003,FL01005
AC1003,FL01006
AC1003,FL01007
AC1003,FL01008
AC1003,FL01009
AC1003,FL01010
AC1003,FL01011
AC1003,FL01012
AC1003,FL01013
AC1003,FL01014
AC1003,FL01015
AC1003,FL01016
AC1003,FL01017
AC1003,FL01018
AC1003,FL01019
AC1003,FL01020
AC1003,FL01021
AC1003,FL01022
AC1003,FL01023
AC1003,FL01024
AC1003,FL01025
AC1003,FL01026
AC1003,FL01027
AC1003,FL01028
AC1003,FL01029
AC1003,FL01030
AC1003,FL01031
AC1003,FL01032
AC1003,FL01033
AC1003,FL01034
AC1003,FL01035
AC1003,FL01036
AC1003,FL01037
AC1003,FL01038
AC1003,FL01039
AC1003,FL01040
AC1003,FL01041
AC1003,FL01042
AC1003,FL01043
AC1003,FL01044
AC1003,FL01045
AC1003,FL01046
AC1003,FL01047
AC1003,FL01048
AC1003,FL01049
AC1003,FL01050
AC1003,FL01051
AC1003,FL01052
AC1003,FL01053
AC1003,FL01054
AC1003,FL01055
AC1003,FL01056
AC1003,FL01057
AC1003,FL01058
AC1003,FL01059
AC1003,FL01060
AC1003,FL01061
AC1003,FL01062
AC1003,FL01063
AC1003,FL01064
AC1003,FL01065
AC1003,FL01066
AC1003,FL01067
AC1003,FL01068
AC1003,FL01069
AC1003,FL01070
AC1003,FL01071
AC1003,FL01072
AC1003,FL01073
AC1003,FL01074
AC1003,FL01075
AC1003,FL01076
AC1003,FL01077
AC1003,FL01078
AC1003,FL01079
AC1003,FL01080
AC1003,FL01081
AC1003,FL01082
AC1003,FL01083
AC1003,FL01084
AC1003,FL01085
AC1003,FL01086
AC1003,FL01087
AC1003,FL01088
AC1003,FL01089
AC1003,FL01090
AC1003,FL01091
AC1003,FL01092
AC1003,FL01093
AC1003,FL01094
AC1003,FL01095
AC1003,FL01096
AC1003,FL01097
AC1003,FL01098
AC1003,FL01099
AC1003,FL01100
AC1003,FL01101
AC1003,FL01102
AC1003,FL01103
AC1003,FL01104
AC1003,FL01105
AC1003,FL01106
AC1003,FL01107
AC1003,FL01108
AC1003,FL01109
AC1003,FL01110
AC1003,FL01111
AC1003,FL01112
AC1003,FL01113
AC1003,FL01114
AC1003,FL01115
AC1003,FL01116
AC1003,FL01117
AC1003,FL01118
AC1003,FL01119
AC1003,FL01120
AC1003,FL01121
AC1003,FL01122
AC1003,FL01123
AC1003,FL01124
AC1003,FL01125
AC1003,FL01126
AC1003,FL01127
AC1003,FL01128
AC1003,FL01129
AC1003,FL01130
AC1003,FL01131
AC1003,FL01132
AC1003,FL01133
AC1003,FL01134
AC1003,FL01135
AC1003,FL01136
AC1003,FL01137
AC1003,FL01138
AC1003,FL01139
AC1003,FL01140
AC1003,FL01141
AC1003,FL01142
AC1003,FL01143
AC1003,FL01144
AC1003,FL01145
AC1003,FL01146
AC1003,FL01147
AC1003,FL01148
AC1003,FL01149
AC1003,FL01150
AC1003,FL01151
AC1003,FL01152
AC1003,FL01153
AC1003,FL01154
AC1003,FL01155
AC1003,FL01156
AC1003,FL01157
AC1003,FL01158
AC1003,FL01159
AC1003,FL01160
AC1003,FL01161
AC1003,FL01162
AC1003,FL01163
AC1003,FL01164
AC1003,FL01165
AC1003,FL01166
AC1003,FL01167
AC1003,FL01168
AC1003,FL01169
AC1003,FL01170
AC1003,FL01171
AC1003,FL01172
AC1003,FL01173
AC1003,FL01174
AC1003,FL01175
AC1003,FL01176
AC1003,FL01177
AC1003,FL01178
AC1003,FL01179
AC1003,FL01180
AC1003,FL01181
AC1003,FL01182
AC1003,FL01183
AC1003,FL01184
AC1003,FL01185
AC1004,FL01186
AC1004,FL01187
AC1004,FL01188
AC1004,FL01189
AC1004,FL01190
AC1004,FL01191
AC1004,FL01192
AC1004,FL01193
AC1004,FL01194
AC1004,FL01195
AC1004,FL01196
AC1004,FL01197
AC1004,FL01198
AC1004,FL01199
AC1004,FL01200
AC1004,FL01201
AC1004,FL01202
AC1004,FL01203
AC1004,FL01204
AC1004,FL01205
AC1004,FL01206
AC1004,FL01207
AC1004,FL01208
AC1004,FL01209
AC1004,FL01210
AC1004,FL01211
AC1004,FL01212
AC1004,FL01213
AC1004,FL01214
AC1004,FL01215
AC1004,FL01216
AC1004,FL01217
AC1004,FL01218
AC1004,FL01219
AC1004,FL01220
AC1004,FL01221
AC1004,FL01222
AC1004,FL01223
AC1004,FL01224
AC1004,FL01225
AC1004,FL01226
AC1004,FL01227
AC1004,FL01228
AC1004,FL01229
AC1004,FL01230
AC1004,FL01231
AC1004,FL01232
AC1004,FL01233
AC1004,FL01234
AC1004,FL01235
AC1004,FL01236
AC1004,FL01237
AC1004,FL01238
AC1004,FL01239
AC1004,FL01240
AC1004,FL01241
AC1004,FL01242
AC1004,FL01243
AC1004,FL01244
AC1004,FL01245
AC1004,FL01246
AC1004,FL01247
AC1004,FL01248
AC1004,FL01249
AC1004,FL01250
AC1004,FL01251
AC1004,FL01252
AC1004,FL01253
AC1004,FL01254
AC1004,FL01255
AC1004,FL01256
AC1004,FL01257
AC1004,FL01258
AC1004,FL01259
AC1004,FL01260
AC1004,FL01261
AC1004,FL01262
AC1004,FL01263
AC1004,FL01264
AC1004,FL01265
AC1004,FL01266
AC1004,FL01267
AC1004,FL01268
AC1004,FL01269
AC1004,FL01270
AC1004,FL01271
AC1004,FL01272
AC1004,FL01273
AC1004,FL01274
AC1004,FL01275
AC1004,FL01276
AC1004,FL01277
AC1004,FL01278
AC1004,FL01279
AC1004,FL01280
AC1004,FL01281
AC1004,FL01282
AC1004,FL01283
AC1004,FL01284
AC1004,FL01285
AC1004,FL01286
AC1004,FL01287
AC1004,FL01288
AC1004,FL01289
AC1004,FL01290
AC1004,FL01291
AC1004,FL01292
AC1004,FL01293
AC1004,FL01294
AC1004,FL01295
AC1004,FL01296
AC1004,FL01297
AC1004,FL01298
AC1004,FL01299
AC1004,FL01300
AC1004,FL01301
AC1004,FL01302
AC1004,FL01303
AC1004,FL01304
AC1004,FL01305
AC1004,FL01306
AC1004,FL01307
AC1004,FL01308
AC1004,FL01309
AC1004,FL01310
AC1004,FL01311
AC1004,FL01312
AC1004,FL01313
AC1004,FL01314
AC1004,FL01315
AC1004,FL01316
AC1004,FL01317
AC1004,FL01318
AC1004,FL01319
AC1004,FL01320
AC1004,FL01321
AC1004,FL01322
AC1004,FL01323
AC1004,FL01324
AC1004,FL01325
AC1004,FL01326
AC1004,FL01327
AC1004,FL01328
AC1004,FL01329
AC1004,FL01330
AC1004,FL01331
AC1004,FL01332
AC1004,FL01333
AC1004,FL01334
AC1004,FL01335
AC1004,FL01336
AC1004,FL01337
AC1004,FL01338
AC1004,FL01339
AC1004,FL01340
AC1004,FL01341
AC1004,FL01342
AC1004,FL01343
AC1004,FL01344
AC1004,FL01345
AC1004,FL01346
AC1004,FL01347
AC1004,FL01348
AC1004,FL01349
AC1004,FL01350
AC1004,FL01351
AC1004,FL01352
AC1004,FL01353
AC1004,FL01354
AC1004,FL01355
AC1004,FL01356
AC1004,FL01357
AC1004,FL01358
AC1004,FL01359
AC1004,FL01360
AC1004,FL01361
AC1004,FL01362
AC1004,FL01363
AC1004,FL01364
AC1004,FL01365
AC1004,FL01366
AC1004,FL01367
AC1004,FL01368
AC1004,FL01369
AC1004,FL01370
AC1004,FL01371
AC1004,FL01372
AC1004,FL01373
AC1004,FL01374
AC1004,FL01375
AC1004,FL01376
AC1004,FL01377
AC1004,FL01378
AC1004,FL01379
AC1004,FL01380
AC1004,FL01381
AC1004,FL01382
AC1004,FL01383
AC1004,FL01384
AC1004,FL01385
AC1004,FL01386
AC1004,FL01387
AC1004,FL01388
AC1004,FL01389
AC1004,FL01390
AC1004,FL01391
AC1004,FL01392
AC1004,FL01393
AC1004,FL01394
AC1004,FL01395
